file	section	name	seconds	outcome
profile-ci-build-34903415756.html	configuration	:client:metadataLinuxMainCompileClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:client:nativeMainResolvableDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:core:ktlintReporter	0.002	
profile-ci-build-34903415756.html	configuration	:core:nativeCompilationDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:core:nativeTestCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:testRuntimeClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:dev:client-android:androidLintTool	0.002	
profile-ci-build-34903415756.html	configuration	:dev:client-android:ktlint	0.002	
profile-ci-build-34903415756.html	configuration	:dev:retrace:commonMainResolvableDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:dev:retrace:jvmCompileClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:androidLintTool	0.002	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:runtimeClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:nativeCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:shared:iosArm64CompilationDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:shared:iosSimulatorArm64CompilationDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:shared:iosSimulatorArm64TestCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:shared:jvmTestCompileClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:shared:jvmTestRuntimeClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:shared:ktlint	0.002	
profile-ci-build-34903415756.html	configuration	:shared:ktlintReporter	0.002	
profile-ci-build-34903415756.html	configuration	:shared:linuxX64CompilationDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:shared:linuxX64TestCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:shared:macosArm64CompilationDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:shared:macosX64CompilationDependenciesMetadata	0.002	
profile-ci-build-34903415756.html	configuration	:shared:metadataNativeMainCompileClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:shared:mingwX64TestCompileKlibraries	0.002	
profile-ci-build-34903415756.html	configuration	:shared:swiftPMDependenciesMetadataClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:shared:wasmJsTestCompileClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:shared:wasmJsTestRuntimeClasspath	0.002	
profile-ci-build-34903415756.html	configuration	:client:detachedConfiguration4	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinBuildToolsApiClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathAndroidMain	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathIosArm64Main	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathIosArm64Test	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathIosSimulatorArm64Test	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathIosX64Main	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathIosX64Test	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathJvmMain	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathJvmTest	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathLinuxX64Main	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathLinuxX64Test	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMacosX64Test	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataJvmSharedMain	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataNativeMain	0.001	
profile-ci-build-34903415756.html	configuration	:client:kotlinKlibCommonizerClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:client:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:client:macosMainResolvableDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:client:resolvableIosX64TestCompilationApi	0.001	
profile-ci-build-34903415756.html	configuration	:core:detachedConfiguration1	0.001	
profile-ci-build-34903415756.html	configuration	:core:kotlinBuildToolsApiClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:core:kotlinCompilerClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:core:kotlinCompilerPluginClasspathJvmTest	0.001	
profile-ci-build-34903415756.html	configuration	:core:kotlinCompilerPluginClasspathMetadataCommonMain	0.001	
profile-ci-build-34903415756.html	configuration	:core:kotlinNativeBundleConfiguration	0.001	
profile-ci-build-34903415756.html	configuration	:core:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:detachedConfiguration2	0.001	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:kotlinCompilerPluginClasspathMain	0.001	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:ktlint	0.001	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:testCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:client-android:androidCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:client-android:androidRuntimeClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:client-android:kotlinCompilerPluginClasspathAndroidMain	0.001	
profile-ci-build-34903415756.html	configuration	:dev:client-android:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:client-android:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:allSourceSetsCompileDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:jvmTestCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinCompilerClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:ktlint	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:nativeCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:dev:retrace:nativeTestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:debugLintChecksClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:detachedConfiguration1	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:detachedConfiguration4	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:detachedConfiguration6	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:kotlinBuildToolsApiClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:ktlint	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:detachedConfiguration1	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:kotlinCompilerPluginClasspathTest	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:ktlint	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm:testCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:kotlinCompilerClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:ktlint	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:nativeTestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native:resolvableNativeTestCompilationApi	0.001	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:detachedConfiguration1	0.001	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:detachedConfiguration2	0.001	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:kotlinCompilerPluginClasspathTest	0.001	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:ktlint	0.001	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:ktlintReporter	0.001	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:server:detachedConfiguration4	0.001	
profile-ci-build-34903415756.html	configuration	:server:detachedConfiguration5	0.001	
profile-ci-build-34903415756.html	configuration	:server:detachedConfiguration7	0.001	
profile-ci-build-34903415756.html	configuration	:server:kotlinCompilerPluginClasspathJvmMain	0.001	
profile-ci-build-34903415756.html	configuration	:server:kotlinCompilerPluginClasspathMetadataCommonMain	0.001	
profile-ci-build-34903415756.html	configuration	:server:kotlinCompilerPluginClasspathNativeTest	0.001	
profile-ci-build-34903415756.html	configuration	:server:kotlinNativeBundleConfiguration	0.001	
profile-ci-build-34903415756.html	configuration	:shared:appleMainResolvableDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:detachedConfiguration2	0.001	
profile-ci-build-34903415756.html	configuration	:shared:iosArm64TestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:shared:iosMainResolvableDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:iosX64CompilationDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:iosX64TestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:shared:jvmMainCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinBuildToolsApiClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathIosX64Main	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathIosX64Test	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathJvmTest	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathLinuxX64Main	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMacosArm64Main	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMacosX64Main	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMacosX64Test	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMetadataAppleMain	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMetadataCommonMain	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMetadataIosMain	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMetadataMacosMain	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMetadataNativeMain	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathMingwX64Test	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinCompilerPluginClasspathWasmJsMain	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinKlibCommonizerClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinNativeBundleConfiguration	0.001	
profile-ci-build-34903415756.html	configuration	:shared:kotlinScriptDefExtensions	0.001	
profile-ci-build-34903415756.html	configuration	:shared:ktlintRuleset	0.001	
profile-ci-build-34903415756.html	configuration	:shared:linuxArm64CompilationDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:linuxArm64TestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:shared:linuxMainResolvableDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:macosArm64TestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:shared:macosMainResolvableDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:macosX64TestCompileKlibraries	0.001	
profile-ci-build-34903415756.html	configuration	:shared:metadataAppleMainCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:metadataIosMainCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:metadataLinuxMainCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:metadataMacosMainCompileClasspath	0.001	
profile-ci-build-34903415756.html	configuration	:shared:mingwX64CompilationDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:shared:nativeMainResolvableDependenciesMetadata	0.001	
profile-ci-build-34903415756.html	configuration	:client:detachedConfiguration2	0.000	
profile-ci-build-34903415756.html	configuration	:client:jvmMainAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:client:jvmTestAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathIosSimulatorArm64Main	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathLinuxArm64Main	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathLinuxArm64Test	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMacosArm64Main	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMacosArm64Test	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMacosX64Main	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataAppleMain	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataIosMain	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataLinuxMain	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMetadataMacosMain	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMingwX64Main	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinCompilerPluginClasspathMingwX64Test	0.000	
profile-ci-build-34903415756.html	configuration	:client:kotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:client:lintPublish	0.000	
